标准岗位,标准城市,技能,出现岗位数,岗位内出现率
算法工程师,武汉,R,9,3.6%
算法工程师,武汉,SQL,9,3.6%
算法工程师,深圳,统计分析,9,1.4%
BI分析师,上海,SQL,8,80.0%
Python开发工程师,上海,MongoDB,8,12.1%
Python开发工程师,北京,LangChain,8,8.7%
Python开发工程师,南京,Flask,8,42.1%
Python开发工程师,广州,FastAPI,8,24.2%
Python开发工程师,广州,Git,8,24.2%
Python开发工程师,广州,PostgreSQL,8,24.2%
Python开发工程师,成都,Docker,8,25.0%
Python开发工程师,武汉,Flask,8,42.1%
Python开发工程师,深圳,Pandas,8,9.4%
Python开发工程师,西安,Redis,8,17.8%
大数据开发工程师,上海,MySQL,8,25.8%
大数据开发工程师,北京,ClickHouse,8,15.1%
大数据开发工程师,南京,Kafka,8,42.1%
大数据开发工程师,广州,HBase,8,22.9%
大数据开发工程师,广州,Oracle,8,22.9%
大数据开发工程师,成都,Flink,8,57.1%
大数据开发工程师,成都,Hive,8,57.1%
大数据开发工程师,成都,Kafka,8,57.1%
大数据开发工程师,成都,Spark,8,57.1%
