标准岗位,标准城市,技能,出现岗位数,岗位内出现率
数据分析师,广州,Hadoop,3,2.1%
数据分析师,广州,PyTorch,3,2.1%
数据分析师,广州,SAS,3,2.1%
数据分析师,广州,TensorFlow,3,2.1%
数据分析师,成都,Docker,3,3.3%
数据分析师,成都,ERP,3,3.3%
数据分析师,成都,PostgreSQL,3,3.3%
数据分析师,成都,PyTorch,3,3.3%
数据分析师,成都,Spark,3,3.3%
数据分析师,成都,数据治理,3,3.3%
数据分析师,成都,深度学习,3,3.3%
数据分析师,杭州,ETL,3,3.5%
数据分析师,杭州,Hadoop,3,3.5%
数据分析师,杭州,Spark,3,3.5%
数据分析师,杭州,大语言模型,3,3.5%
数据分析师,杭州,深度学习,3,3.5%
数据分析师,武汉,FineBI,3,4.5%
数据分析师,武汉,Hive SQL,3,4.5%
数据分析师,武汉,Java,3,4.5%
数据分析师,武汉,MySQL,3,4.5%
数据分析师,武汉,SAS,3,4.5%
数据分析师,武汉,SPSS,3,4.5%
数据分析师,武汉,Scala,3,4.5%
数据分析师,武汉,数据挖掘,3,4.5%
数据分析师,深圳,Matplotlib,3,2.8%
数据分析师,深圳,大语言模型,3,2.8%
数据分析师,深圳,深度学习,3,2.8%
数据分析师,西安,MySQL,3,5.3%
数据分析师,西安,Spark,3,5.3%
数据分析师,重庆,Spark,3,7.7%
数据分析师,重庆,scikit-learn,3,7.7%
数据开发工程师,上海,DataX,3,3.7%
数据开发工程师,上海,Spring Boot,3,3.7%
数据开发工程师,上海,数据湖,3,3.7%
数据开发工程师,上海,深度学习,3,3.7%
数据开发工程师,北京,C++,3,4.4%
数据开发工程师,北京,ClickHouse,3,4.4%
数据开发工程师,北京,Hive SQL,3,4.4%
数据开发工程师,北京,MaxCompute,3,4.4%
数据开发工程师,北京,Spring Boot,3,4.4%
数据开发工程师,北京,统计分析,3,4.4%
数据开发工程师,南京,Flink,3,8.6%
数据开发工程师,南京,Hive SQL,3,8.6%
数据开发工程师,南京,Kafka,3,8.6%
数据开发工程师,南京,Kettle,3,8.6%
数据开发工程师,南京,PostgreSQL,3,8.6%
数据开发工程师,南京,大语言模型,3,8.6%
数据开发工程师,广州,BI,3,7.3%
数据开发工程师,广州,ClickHouse,3,7.3%
数据开发工程师,广州,FineBI,3,7.3%
数据开发工程师,广州,NumPy,3,7.3%
数据开发工程师,广州,Pandas,3,7.3%
数据开发工程师,广州,Tableau,3,7.3%
数据开发工程师,广州,华为云,3,7.3%
数据开发工程师,广州,大语言模型,3,7.3%
数据开发工程师,成都,BI,3,10.3%
数据开发工程师,成都,FineBI,3,10.3%
数据开发工程师,成都,Quick BI,3,10.3%
数据开发工程师,成都,Tableau,3,10.3%
数据开发工程师,成都,大语言模型,3,10.3%
数据开发工程师,成都,阿里云,3,10.3%
数据开发工程师,杭州,BI,3,8.6%
数据开发工程师,杭州,Doris,3,8.6%
数据开发工程师,杭州,HBase,3,8.6%
数据开发工程师,杭州,StarRocks,3,8.6%
数据开发工程师,杭州,大语言模型,3,8.6%
数据开发工程师,杭州,阿里云,3,8.6%
数据开发工程师,武汉,Kettle,3,9.1%
数据开发工程师,武汉,数据湖,3,9.1%
数据开发工程师,深圳,Kettle,3,5.2%
数据开发工程师,深圳,Power BI,3,5.2%
数据开发工程师,深圳,RAG,3,5.2%
数据开发工程师,深圳,Tableau,3,5.2%
数据开发工程师,深圳,数据湖,3,5.2%
数据开发工程师,西安,ClickHouse,3,11.1%
数据开发工程师,西安,Spark SQL,3,11.1%
数据开发工程师,西安,数据可视化,3,11.1%
数据开发工程师,重庆,ClickHouse,3,15.8%
数据开发工程师,重庆,PostgreSQL,3,15.8%
数据开发工程师,重庆,Scala,3,15.8%
数据开发工程师,重庆,数据挖掘,3,15.8%
数据开发工程师,重庆,深度学习,3,15.8%
机器学习工程师,上海,Java,3,23.1%
机器学习工程师,上海,RAG,3,23.1%
机器学习工程师,上海,SQL,3,23.1%
机器学习工程师,上海,大语言模型,3,23.1%
机器学习工程师,北京,Java,3,18.8%
机器学习工程师,广州,C++,3,50.0%
机器学习工程师,广州,Java,3,50.0%
机器学习工程师,广州,Redis,3,50.0%
机器学习工程师,成都,深度学习,3,60.0%
机器学习工程师,杭州,NumPy,3,37.5%
机器学习工程师,杭州,Pandas,3,37.5%
机器学习工程师,杭州,SQL,3,37.5%
机器学习工程师,武汉,Python,3,100.0%
机器学习工程师,深圳,PyTorch,3,30.0%
机器学习工程师,深圳,scikit-learn,3,30.0%
机器学习工程师,西安,C++,3,75.0%
机器学习工程师,西安,机器学习,3,75.0%
算法工程师,上海,Flink,3,0.4%
算法工程师,上海,HBase,3,0.4%
算法工程师,上海,Prompt Engineering,3,0.4%
算法工程师,上海,数据可视化,3,0.4%
算法工程师,北京,A,3,0.5%
算法工程师,北京,AWS,3,0.5%
算法工程师,北京,B测试,3,0.5%
算法工程师,北京,Django,3,0.5%
算法工程师,北京,Spark SQL,3,0.5%
算法工程师,北京,数据可视化,3,0.5%
算法工程师,北京,数据建模,3,0.5%
算法工程师,北京,阿里云,3,0.5%
算法工程师,南京,Docker,3,1.2%
算法工程师,南京,Flink,3,1.2%
算法工程师,南京,Hadoop,3,1.2%
算法工程师,南京,Transformers,3,1.2%
算法工程师,广州,Flink,3,0.9%
算法工程师,广州,数据建模,3,0.9%
算法工程师,广州,统计分析,3,0.9%
算法工程师,成都,FastAPI,3,1.2%
算法工程师,成都,MySQL,3,1.2%
算法工程师,成都,Spark,3,1.2%
算法工程师,杭州,FastAPI,3,0.8%
算法工程师,杭州,Spark,3,0.8%
算法工程师,杭州,数据可视化,3,0.8%
算法工程师,武汉,AWS,3,1.2%
算法工程师,武汉,Hadoop,3,1.2%
算法工程师,武汉,推荐算法,3,1.2%
算法工程师,深圳,FastAPI,3,0.5%
算法工程师,深圳,Hadoop,3,0.5%
算法工程师,深圳,Hive,3,0.5%
算法工程师,深圳,Redis,3,0.5%
算法工程师,深圳,Scala,3,0.5%
算法工程师,西安,Git,3,1.8%
算法工程师,西安,Prompt Engineering,3,1.8%
算法工程师,西安,R,3,1.8%
算法工程师,西安,SQL,3,1.8%
算法工程师,西安,Spark,3,1.8%
算法工程师,重庆,MySQL,3,2.5%
算法工程师,重庆,Transformers,3,2.5%
算法工程师,重庆,推荐算法,3,2.5%
算法工程师,重庆,数据建模,3,2.5%
BI分析师,上海,Excel,2,20.0%
BI分析师,上海,FineBI,2,20.0%
BI分析师,上海,MySQL,2,20.0%
BI分析师,上海,Oracle,2,20.0%
BI分析师,上海,数据建模,2,20.0%
BI分析师,上海,数据治理,2,20.0%
BI分析师,广州,MySQL,2,40.0%
BI分析师,广州,Oracle,2,40.0%
BI分析师,广州,PostgreSQL,2,40.0%
BI分析师,广州,Power BI,2,40.0%
BI分析师,广州,Python,2,40.0%
BI分析师,广州,数据仓库,2,40.0%
BI分析师,广州,数据可视化,2,40.0%
BI分析师,深圳,Power BI,2,100.0%
BI分析师,深圳,Tableau,2,100.0%
Python开发工程师,上海,C++,2,3.0%
Python开发工程师,上海,Prompt Engineering,2,3.0%
Python开发工程师,上海,Pydantic,2,3.0%
Python开发工程师,上海,数据建模,2,3.0%
Python开发工程师,上海,深度学习,2,3.0%
Python开发工程师,北京,Hadoop,2,2.2%
Python开发工程师,北京,IP,2,2.2%
Python开发工程师,北京,SQL Server,2,2.2%
Python开发工程师,北京,TCP,2,2.2%
Python开发工程师,北京,scikit-learn,2,2.2%
Python开发工程师,北京,计算机视觉,2,2.2%
Python开发工程师,南京,Kafka,2,10.5%
Python开发工程师,南京,Kubernetes,2,10.5%
Python开发工程师,南京,RAG,2,10.5%
Python开发工程师,南京,Redis,2,10.5%
Python开发工程师,广州,ETL,2,6.1%
Python开发工程师,广州,Jenkins,2,6.1%
Python开发工程师,广州,MATLAB,2,6.1%
Python开发工程师,广州,MongoDB,2,6.1%
Python开发工程师,广州,Prompt Engineering,2,6.1%
Python开发工程师,广州,RAG,2,6.1%
Python开发工程师,广州,统计分析,2,6.1%
Python开发工程师,成都,Excel,2,6.2%
Python开发工程师,成都,Git,2,6.2%
Python开发工程师,成都,JavaScript,2,6.2%
Python开发工程师,成都,Kafka,2,6.2%
Python开发工程师,成都,LangChain,2,6.2%
Python开发工程师,成都,Nginx,2,6.2%
Python开发工程师,成都,Oracle,2,6.2%
Python开发工程师,成都,Pandas,2,6.2%
Python开发工程师,成都,机器学习,2,6.2%
Python开发工程师,成都,深度学习,2,6.2%
Python开发工程师,杭州,C++,2,8.0%
Python开发工程师,杭州,MongoDB,2,8.0%
Python开发工程师,杭州,NumPy,2,8.0%
Python开发工程师,杭州,Oracle,2,8.0%
Python开发工程师,杭州,Pandas,2,8.0%
Python开发工程师,杭州,SQL Server,2,8.0%
Python开发工程师,杭州,scikit-learn,2,8.0%
Python开发工程师,杭州,机器学习,2,8.0%
Python开发工程师,武汉,C++,2,10.5%
Python开发工程师,武汉,Kafka,2,10.5%
Python开发工程师,武汉,LangChain,2,10.5%
Python开发工程师,武汉,Prompt Engineering,2,10.5%
Python开发工程师,武汉,PyTorch,2,10.5%
Python开发工程师,武汉,StarRocks,2,10.5%
Python开发工程师,武汉,TensorFlow,2,10.5%
Python开发工程师,武汉,机器学习,2,10.5%
Python开发工程师,深圳,ETL,2,2.4%
Python开发工程师,深圳,GitLab CI,2,2.4%
Python开发工程师,深圳,IP,2,2.4%
Python开发工程师,深圳,JavaScript,2,2.4%
Python开发工程师,深圳,Nginx,2,2.4%
Python开发工程师,深圳,SQLAlchemy,2,2.4%
Python开发工程师,深圳,TCP,2,2.4%
Python开发工程师,深圳,推荐算法,2,2.4%
Python开发工程师,深圳,数据可视化,2,2.4%
Python开发工程师,深圳,深度学习,2,2.4%
Python开发工程师,西安,ETL,2,4.4%
Python开发工程师,西安,NumPy,2,4.4%
Python开发工程师,西安,React,2,4.4%
Python开发工程师,重庆,NumPy,2,16.7%
Python开发工程师,重庆,PyTorch,2,16.7%
Python开发工程师,重庆,SQL Server,2,16.7%
Python开发工程师,重庆,Spark,2,16.7%
大数据开发工程师,上海,DataX,2,6.5%
大数据开发工程师,上海,Git,2,6.5%
大数据开发工程师,上海,Kettle,2,6.5%
大数据开发工程师,上海,MaxCompute,2,6.5%
大数据开发工程师,上海,MongoDB,2,6.5%
大数据开发工程师,上海,NumPy,2,6.5%
大数据开发工程师,上海,Pandas,2,6.5%
大数据开发工程师,上海,Spark SQL,2,6.5%
大数据开发工程师,上海,Sqoop,2,6.5%
大数据开发工程师,上海,阿里云,2,6.5%
大数据开发工程师,北京,DataX,2,3.8%
大数据开发工程师,北京,Django,2,3.8%
大数据开发工程师,北京,FastAPI,2,3.8%
大数据开发工程师,北京,Flume,2,3.8%
大数据开发工程师,北京,Git,2,3.8%
大数据开发工程师,北京,Hive SQL,2,3.8%
大数据开发工程师,北京,IP,2,3.8%
大数据开发工程师,北京,MaxCompute,2,3.8%
大数据开发工程师,北京,Pandas,2,3.8%
大数据开发工程师,北京,SQL Server,2,3.8%
大数据开发工程师,北京,TCP,2,3.8%
大数据开发工程师,北京,统计分析,2,3.8%
大数据开发工程师,南京,Linux,2,10.5%
大数据开发工程师,南京,数据挖掘,2,10.5%
大数据开发工程师,南京,阿里云,2,10.5%
大数据开发工程师,广州,Airflow,2,5.7%
大数据开发工程师,广州,DataX,2,5.7%
大数据开发工程师,广州,NumPy,2,5.7%
大数据开发工程师,广州,Pandas,2,5.7%
大数据开发工程师,广州,机器学习,2,5.7%
大数据开发工程师,广州,阿里云,2,5.7%
大数据开发工程师,成都,Docker,2,14.3%
大数据开发工程师,成都,Elasticsearch,2,14.3%
大数据开发工程师,成都,Oracle,2,14.3%
大数据开发工程师,杭州,ClickHouse,2,20.0%
大数据开发工程师,杭州,大语言模型,2,20.0%
大数据开发工程师,杭州,数据建模,2,20.0%
大数据开发工程师,杭州,数据治理,2,20.0%
大数据开发工程师,杭州,数据湖,2,20.0%
大数据开发工程师,杭州,机器学习,2,20.0%
大数据开发工程师,武汉,AWS,2,10.0%
大数据开发工程师,武汉,Azure,2,10.0%
大数据开发工程师,武汉,ClickHouse,2,10.0%
大数据开发工程师,武汉,FineBI,2,10.0%
大数据开发工程师,武汉,FineReport,2,10.0%
大数据开发工程师,武汉,Kubernetes,2,10.0%
大数据开发工程师,武汉,Spark SQL,2,10.0%
大数据开发工程师,武汉,StarRocks,2,10.0%
大数据开发工程师,武汉,腾讯云,2,10.0%
大数据开发工程师,武汉,阿里云,2,10.0%
大数据开发工程师,深圳,Elasticsearch,2,4.7%
大数据开发工程师,深圳,FineBI,2,4.7%
大数据开发工程师,深圳,NumPy,2,4.7%
大数据开发工程师,深圳,Pandas,2,4.7%
大数据开发工程师,深圳,PySpark,2,4.7%
大数据开发工程师,深圳,RAG,2,4.7%
大数据开发工程师,深圳,Redis,2,4.7%
大数据开发工程师,深圳,Tableau,2,4.7%
大数据开发工程师,深圳,数据可视化,2,4.7%
大数据开发工程师,深圳,数据挖掘,2,4.7%
大数据开发工程师,深圳,达梦数据库,2,4.7%
大数据开发工程师,西安,Doris,2,6.7%
大数据开发工程师,西安,Flink SQL,2,6.7%
大数据开发工程师,西安,Hive SQL,2,6.7%
大数据开发工程师,西安,MaxCompute,2,6.7%
大数据开发工程师,西安,MongoDB,2,6.7%
大数据开发工程师,西安,Spark SQL,2,6.7%
大数据开发工程师,西安,机器学习,2,6.7%
大数据开发工程师,西安,阿里云,2,6.7%
大数据开发工程师,重庆,ClickHouse,2,18.2%
大数据开发工程师,重庆,Elasticsearch,2,18.2%
大数据开发工程师,重庆,JavaScript,2,18.2%
大数据开发工程师,重庆,Kettle,2,18.2%
大数据开发工程师,重庆,Spring Boot,2,18.2%
数据仓库工程师,上海,FineBI,2,25.0%
数据仓库工程师,上海,Flink,2,25.0%
数据仓库工程师,上海,Hadoop,2,25.0%
数据仓库工程师,上海,Oracle,2,25.0%
数据仓库工程师,上海,PostgreSQL,2,25.0%
数据仓库工程师,上海,Power BI,2,25.0%
数据仓库工程师,上海,R,2,25.0%
数据仓库工程师,上海,SQL Server,2,25.0%
数据仓库工程师,上海,Tableau,2,25.0%
数据仓库工程师,上海,数据挖掘,2,25.0%
数据仓库工程师,上海,机器学习,2,25.0%
数据仓库工程师,北京,ETL,2,50.0%
数据仓库工程师,北京,Hadoop,2,50.0%
数据仓库工程师,北京,Java,2,50.0%
数据仓库工程师,北京,数据建模,2,50.0%
数据仓库工程师,北京,数据治理,2,50.0%
数据仓库工程师,广州,数据仓库,2,50.0%
数据仓库工程师,成都,ClickHouse,2,40.0%
数据仓库工程师,成都,DataX,2,40.0%
数据仓库工程师,成都,Java,2,40.0%
数据仓库工程师,成都,Kafka,2,40.0%
数据仓库工程师,成都,Power BI,2,40.0%
数据仓库工程师,成都,SQL Server,2,40.0%
数据仓库工程师,成都,Scala,2,40.0%
数据仓库工程师,成都,Trino,2,40.0%
数据仓库工程师,杭州,Python,2,100.0%
数据仓库工程师,杭州,SQL,2,100.0%
数据仓库工程师,杭州,数据仓库,2,100.0%
数据仓库工程师,杭州,数据建模,2,100.0%
数据仓库工程师,杭州,数据治理,2,100.0%
数据仓库工程师,深圳,ETL,2,40.0%
数据仓库工程师,深圳,FineBI,2,40.0%
数据仓库工程师,深圳,Flink,2,40.0%
数据仓库工程师,深圳,MySQL,2,40.0%
数据仓库工程师,深圳,Oracle,2,40.0%
数据分析师,上海,FineReport,2,1.1%
数据分析师,上海,Flink,2,1.1%
数据分析师,上海,JavaScript,2,1.1%
数据分析师,上海,Kafka,2,1.1%
数据分析师,上海,Matplotlib,2,1.1%
数据分析师,上海,Power Query,2,1.1%
数据分析师,上海,Prompt Engineering,2,1.1%
数据分析师,上海,PyTorch,2,1.1%
数据分析师,上海,TensorFlow,2,1.1%
数据分析师,北京,ClickHouse,2,1.1%
数据分析师,北京,Docker,2,1.1%
数据分析师,北京,ECharts,2,1.1%
数据分析师,北京,Git,2,1.1%
数据分析师,北京,Hive SQL,2,1.1%
数据分析师,北京,Kettle,2,1.1%
数据分析师,北京,Matplotlib,2,1.1%
数据分析师,北京,PostgreSQL,2,1.1%
数据分析师,北京,Scala,2,1.1%
数据分析师,北京,TensorFlow,2,1.1%
数据分析师,北京,推荐算法,2,1.1%
数据分析师,南京,DataX,2,3.3%
数据分析师,南京,Kettle,2,3.3%
数据分析师,南京,PostgreSQL,2,3.3%
数据分析师,南京,RAG,2,3.3%
数据分析师,南京,SPSS,2,3.3%
数据分析师,南京,SQL Server,2,3.3%
数据分析师,南京,Sqoop,2,3.3%
数据分析师,广州,A,2,1.4%
数据分析师,广州,BI,2,1.4%
数据分析师,广州,B测试,2,1.4%
数据分析师,广州,PostgreSQL,2,1.4%
数据分析师,广州,大语言模型,2,1.4%
数据分析师,成都,BI,2,2.2%
数据分析师,成都,ETL,2,2.2%
数据分析师,成都,Hadoop,2,2.2%
数据分析师,成都,Hive SQL,2,2.2%
数据分析师,成都,NLP,2,2.2%
数据分析师,成都,Oracle,2,2.2%
数据分析师,成都,SAS,2,2.2%
数据分析师,成都,SPSS,2,2.2%
数据分析师,成都,SQL Server,2,2.2%
数据分析师,成都,Seaborn,2,2.2%
数据分析师,成都,Spring Boot,2,2.2%
数据分析师,杭州,MySQL,2,2.4%
数据分析师,杭州,NLP,2,2.4%
数据分析师,杭州,Oracle,2,2.4%
数据分析师,杭州,Power Query,2,2.4%
数据分析师,杭州,Quick BI,2,2.4%
数据分析师,杭州,SPSS,2,2.4%
数据分析师,武汉,ERP,2,3.0%
数据分析师,武汉,ETL,2,3.0%
数据分析师,武汉,HBase,2,3.0%
数据分析师,武汉,Hive,2,3.0%
数据分析师,武汉,Kafka,2,3.0%
数据分析师,武汉,LangChain,2,3.0%
数据分析师,武汉,NLP,2,3.0%
数据分析师,武汉,Prompt Engineering,2,3.0%
数据分析师,武汉,RAG,2,3.0%
数据分析师,深圳,A,2,1.8%
数据分析师,深圳,B测试,2,1.8%
数据分析师,深圳,Java,2,1.8%
数据分析师,深圳,Oracle,2,1.8%
数据分析师,深圳,PyTorch,2,1.8%
数据分析师,深圳,SAS,2,1.8%
数据分析师,西安,ETL,2,3.5%
数据分析师,西安,Hive,2,3.5%
数据分析师,西安,Matplotlib,2,3.5%
数据分析师,西安,NumPy,2,3.5%
数据分析师,西安,PostgreSQL,2,3.5%
数据分析师,西安,大语言模型,2,3.5%
数据分析师,西安,深度学习,2,3.5%
数据分析师,重庆,A,2,5.1%
数据分析师,重庆,B测试,2,5.1%
数据分析师,重庆,Hadoop,2,5.1%
数据分析师,重庆,Hive,2,5.1%
数据分析师,重庆,Java,2,5.1%
数据分析师,重庆,SPSS,2,5.1%
数据分析师,重庆,数据治理,2,5.1%
数据开发工程师,上海,AWS,2,2.4%
数据开发工程师,上海,Azure,2,2.4%
数据开发工程师,上海,CSS,2,2.4%
数据开发工程师,上海,Docker,2,2.4%
数据开发工程师,上海,Excel,2,2.4%
数据开发工程师,上海,Flink SQL,2,2.4%
数据开发工程师,上海,Flume,2,2.4%
数据开发工程师,上海,HTML,2,2.4%
数据开发工程师,上海,Spark SQL,2,2.4%
数据开发工程师,上海,StarRocks,2,2.4%
数据开发工程师,上海,大语言模型,2,2.4%
数据开发工程师,北京,Airflow,2,2.9%
数据开发工程师,北京,BI,2,2.9%
数据开发工程师,北京,Docker,2,2.9%
数据开发工程师,北京,FineBI,2,2.9%
数据开发工程师,北京,Flink SQL,2,2.9%
数据开发工程师,北京,Kubernetes,2,2.9%
数据开发工程师,北京,Pandas,2,2.9%
数据开发工程师,北京,Redis,2,2.9%
数据开发工程师,北京,Tableau,2,2.9%
数据开发工程师,南京,Airflow,2,5.7%
数据开发工程师,南京,DataX,2,5.7%
数据开发工程师,南京,HBase,2,5.7%
数据开发工程师,南京,Matplotlib,2,5.7%
数据开发工程师,南京,NumPy,2,5.7%
数据开发工程师,南京,Pandas,2,5.7%
数据开发工程师,南京,Sqoop,2,5.7%
数据开发工程师,南京,数据可视化,2,5.7%
数据开发工程师,南京,数据挖掘,2,5.7%
数据开发工程师,南京,机器学习,2,5.7%
数据开发工程师,广州,Azure,2,4.9%
数据开发工程师,广州,Hive SQL,2,4.9%
数据开发工程师,广州,NLP,2,4.9%
数据开发工程师,广州,Power BI,2,4.9%
数据开发工程师,广州,StarRocks,2,4.9%
数据开发工程师,广州,数据挖掘,2,4.9%
数据开发工程师,广州,腾讯云,2,4.9%
数据开发工程师,广州,阿里云,2,4.9%
数据开发工程师,成都,Excel,2,6.9%
数据开发工程师,成都,FineReport,2,6.9%
数据开发工程师,成都,MongoDB,2,6.9%
数据开发工程师,成都,PostgreSQL,2,6.9%
数据开发工程师,成都,R,2,6.9%
数据开发工程师,成都,scikit-learn,2,6.9%
数据开发工程师,成都,达梦数据库,2,6.9%
数据开发工程师,杭州,C++,2,5.7%
数据开发工程师,杭州,Docker,2,5.7%
数据开发工程师,杭州,FineReport,2,5.7%
数据开发工程师,杭州,NumPy,2,5.7%
数据开发工程师,杭州,Pandas,2,5.7%
数据开发工程师,杭州,PySpark,2,5.7%
数据开发工程师,杭州,Scala,2,5.7%
数据开发工程师,杭州,数据治理,2,5.7%
数据开发工程师,武汉,C++,2,6.1%
数据开发工程师,武汉,Git,2,6.1%
数据开发工程师,武汉,JavaScript,2,6.1%
数据开发工程师,武汉,MaxCompute,2,6.1%
数据开发工程师,武汉,Scala,2,6.1%
数据开发工程师,武汉,Sqoop,2,6.1%
数据开发工程师,武汉,数据治理,2,6.1%
数据开发工程师,武汉,阿里云,2,6.1%
数据开发工程师,深圳,Excel,2,3.4%
数据开发工程师,深圳,FineBI,2,3.4%
数据开发工程师,深圳,MATLAB,2,3.4%
数据开发工程师,深圳,MongoDB,2,3.4%
数据开发工程师,深圳,NLP,2,3.4%
数据开发工程师,深圳,Pandas,2,3.4%
数据开发工程师,深圳,SQL Server,2,3.4%
数据开发工程师,深圳,Sqoop,2,3.4%
数据开发工程师,深圳,StarRocks,2,3.4%
数据开发工程师,深圳,Trino,2,3.4%
数据开发工程师,深圳,大语言模型,2,3.4%
数据开发工程师,深圳,深度学习,2,3.4%
数据开发工程师,深圳,统计分析,2,3.4%
数据开发工程师,深圳,阿里云,2,3.4%
数据开发工程师,西安,Airflow,2,7.4%
数据开发工程师,西安,MongoDB,2,7.4%
数据开发工程师,西安,PostgreSQL,2,7.4%
数据开发工程师,西安,Redis,2,7.4%
数据开发工程师,西安,Tableau,2,7.4%
数据开发工程师,西安,大语言模型,2,7.4%
数据开发工程师,西安,数据湖,2,7.4%
数据开发工程师,西安,机器学习,2,7.4%
数据开发工程师,重庆,FineBI,2,10.5%
数据开发工程师,重庆,Kafka,2,10.5%
数据开发工程师,重庆,Kettle,2,10.5%
数据开发工程师,重庆,PyTorch,2,10.5%
数据开发工程师,重庆,TensorFlow,2,10.5%
数据开发工程师,重庆,计算机视觉,2,10.5%
机器学习工程师,上海,Docker,2,15.4%
机器学习工程师,上海,LangChain,2,15.4%
机器学习工程师,上海,NLP,2,15.4%
机器学习工程师,上海,Prompt Engineering,2,15.4%
机器学习工程师,北京,Linux,2,12.5%
机器学习工程师,北京,scikit-learn,2,12.5%
机器学习工程师,北京,大语言模型,2,12.5%
机器学习工程师,北京,数据建模,2,12.5%
机器学习工程师,北京,计算机视觉,2,12.5%
机器学习工程师,南京,Python,2,100.0%
机器学习工程师,南京,机器学习,2,100.0%
机器学习工程师,广州,Docker,2,33.3%
机器学习工程师,广州,Kafka,2,33.3%
机器学习工程师,广州,Kubernetes,2,33.3%
机器学习工程师,广州,MySQL,2,33.3%
机器学习工程师,广州,PyTorch,2,33.3%
机器学习工程师,广州,TensorFlow,2,33.3%
机器学习工程师,广州,大语言模型,2,33.3%
机器学习工程师,广州,推荐算法,2,33.3%
机器学习工程师,广州,机器学习,2,33.3%
机器学习工程师,广州,深度学习,2,33.3%
机器学习工程师,成都,C++,2,40.0%
机器学习工程师,成都,PyTorch,2,40.0%
机器学习工程师,杭州,TensorFlow,2,25.0%
机器学习工程师,杭州,深度学习,2,25.0%
机器学习工程师,武汉,C++,2,66.7%
机器学习工程师,武汉,机器学习,2,66.7%
机器学习工程师,武汉,深度学习,2,66.7%
机器学习工程师,深圳,Docker,2,20.0%
机器学习工程师,深圳,Java,2,20.0%
机器学习工程师,深圳,TensorFlow,2,20.0%
机器学习工程师,深圳,大语言模型,2,20.0%
机器学习工程师,深圳,计算机视觉,2,20.0%
机器学习工程师,西安,深度学习,2,50.0%
算法工程师,上海,A,2,0.3%
算法工程师,上海,B测试,2,0.3%
算法工程师,上海,Flask,2,0.3%
算法工程师,上海,IP,2,0.3%
算法工程师,上海,Oracle,2,0.3%
算法工程师,上海,Spark SQL,2,0.3%
算法工程师,上海,TCP,2,0.3%
算法工程师,北京,Azure,2,0.4%
算法工程师,北京,Dask,2,0.4%
算法工程师,北京,ERP,2,0.4%
算法工程师,北京,Elasticsearch,2,0.4%
算法工程师,北京,MongoDB,2,0.4%
算法工程师,北京,Neo4j,2,0.4%
算法工程师,北京,React,2,0.4%
算法工程师,南京,Excel,2,0.8%
算法工程师,南京,Flask,2,0.8%
算法工程师,南京,Matplotlib,2,0.8%
算法工程师,南京,Oracle,2,0.8%
算法工程师,南京,PostgreSQL,2,0.8%
算法工程师,南京,Scala,2,0.8%
算法工程师,广州,Django,2,0.6%
算法工程师,广州,Flask,2,0.6%
算法工程师,广州,Hadoop,2,0.6%
算法工程师,广州,Matplotlib,2,0.6%
算法工程师,广州,MongoDB,2,0.6%
算法工程师,广州,MySQL,2,0.6%
算法工程师,广州,Redis,2,0.6%
算法工程师,广州,阿里云,2,0.6%
算法工程师,成都,Airflow,2,0.8%
算法工程师,成都,Flink,2,0.8%
算法工程师,成都,Kafka,2,0.8%
算法工程师,成都,MongoDB,2,0.8%
算法工程师,成都,Pandas,2,0.8%
算法工程师,成都,Redis,2,0.8%
算法工程师,成都,SQL,2,0.8%
算法工程师,成都,scikit-learn,2,0.8%
算法工程师,成都,数据可视化,2,0.8%
算法工程师,杭州,Excel,2,0.6%
算法工程师,杭州,Flask,2,0.6%
算法工程师,杭州,JavaScript,2,0.6%
算法工程师,杭州,Kubernetes,2,0.6%
算法工程师,杭州,MaxCompute,2,0.6%
算法工程师,杭州,数据治理,2,0.6%
算法工程师,杭州,统计分析,2,0.6%
算法工程师,武汉,ETL,2,0.8%
算法工程师,武汉,Flask,2,0.8%
算法工程师,武汉,IP,2,0.8%
算法工程师,武汉,MySQL,2,0.8%
算法工程师,武汉,Prompt Engineering,2,0.8%
算法工程师,武汉,TCP,2,0.8%
算法工程师,武汉,数据治理,2,0.8%
算法工程师,深圳,A,2,0.3%
算法工程师,深圳,B测试,2,0.3%
算法工程师,深圳,Flink,2,0.3%
算法工程师,深圳,PostgreSQL,2,0.3%
算法工程师,深圳,数据可视化,2,0.3%
算法工程师,深圳,数据建模,2,0.3%
算法工程师,西安,FastAPI,2,1.2%
算法工程师,西安,Hadoop,2,1.2%
算法工程师,西安,JavaScript,2,1.2%
算法工程师,西安,Transformers,2,1.2%
算法工程师,西安,数据仓库,2,1.2%
算法工程师,西安,数据可视化,2,1.2%
算法工程师,西安,数据建模,2,1.2%
算法工程师,西安,统计分析,2,1.2%
算法工程师,重庆,FastAPI,2,1.6%
算法工程师,重庆,Hadoop,2,1.6%
算法工程师,重庆,React,2,1.6%
算法工程师,镇江,C++,2,100.0%
BI分析师,上海,A,1,10.0%
BI分析师,上海,BI,1,10.0%
BI分析师,上海,B测试,1,10.0%
BI分析师,上海,Java,1,10.0%
BI分析师,上海,Power Query,1,10.0%
BI分析师,上海,R,1,10.0%
BI分析师,上海,SQL Server,1,10.0%
BI分析师,北京,FineBI,1,25.0%
BI分析师,北京,FineReport,1,25.0%
BI分析师,北京,Quick BI,1,25.0%
